Company,Sector
Finance 27,Finance
Finance 28,Finance
Finance 29,Finance
Finance 30,Finance
Finance 31,Finance
Finance 32,Finance
Finance 33,Finance
Finance 34,Finance
Finance 35,Finance
Finance 36,Finance
Finance 37,Finance
Finance 38,Finance
Finance 39,Finance
Finance 40,Finance
Retail 1,Retail
Retail 2,Retail
Retail 3,Retail
Retail 4,Retail
Retail 5,Retail
Retail 6,Retail
Retail 7,Retail
Retail 8,Retail
Retail 9,Retail
Retail 10,Retail
Retail 11,Retail
Retail 12,Retail
Retail 13,Retail
Retail 14,Retail
Retail 15,Retail
Retail 16,Retail
Retail 17,Retail
Retail 18,Retail
Retail 19,Retail
Retail 20,Retail
Retail 21,Retail
Retail 22,Retail
Retail 23,Retail
Retail 24,Retail
Retail 25,Retail
Retail 26,Retail
Retail 27,Retail
Retail 28,Retail
Retail 29,Retail
Retail 30,Retail
Retail 31,Retail
Retail 32,Retail
Retail 33,Retail
Retail 34,Retail
Retail 35,Retail
Retail 36,Retail
Retail 37,Retail
Retail 38,Retail
Retail 39,Retail
Retail 40,Retail
Healthcare 1,Healthcare
Healthcare 2,Healthcare
Healthcare 3,Healthcare
Healthcare 4,Healthcare
Healthcare 5,Healthcare
Healthcare 6,Healthcare
Healthcare 7,Healthcare
Healthcare 8,Healthcare
Healthcare 9,Healthcare
Healthcare 10,Healthcare
Healthcare 11,Healthcare
Healthcare 12,Healthcare
Healthcare 13,Healthcare
Healthcare 14,Healthcare
Healthcare 15,Healthcare
Healthcare 16,Healthcare
Healthcare 17,Healthcare
Healthcare 18,Healthcare
Healthcare 19,Healthcare
Healthcare 20,Healthcare
Healthcare 21,Healthcare
Healthcare 22,Healthcare
Healthcare 23,Healthcare
Healthcare 24,Healthcare
Healthcare 25,Healthcare
Healthcare 26,Healthcare
Healthcare 27,Healthcare
Healthcare 28,Healthcare
Healthcare 29,Healthcare
Healthcare 30,Healthcare
Healthcare 31,Healthcare
Healthcare 32,Healthcare
Healthcare 33,Healthcare
Healthcare 34,Healthcare
Healthcare 35,Healthcare
Construction 1,Construction
Construction 2,Construction
Construction 3,Construction
Construction 4,Construction
Construction 5,Construction
Construction 6,Construction
Construction 7,Construction
Construction 8,Construction
Construction 9,Construction
Construction 10,Construction
Construction 11,Construction
Construction 12,Construction
Construction 13,Construction
Construction 14,Construction
Construction 15,Construction
Construction 16,Construction
Construction 17,Construction
Construction 18,Construction
Construction 19,Construction
Construction 20,Construction
Construction 21,Construction
Construction 22,Construction
Construction 23,Construction
Construction 24,Construction
Construction 25,Construction
Construction 26,Construction
Construction 27,Construction
Construction 28,Construction
Construction 29,Construction
Construction 30,Construction
Agriculture 1,Agriculture
Agriculture 2,Agriculture
Agriculture 3,Agriculture
Agriculture 4,Agriculture
Agriculture 5,Agriculture
Agriculture 6,Agriculture
Agriculture 7,Agriculture
Agriculture 8,Agriculture
Agriculture 9,Agriculture
Agriculture 10,Agriculture
Agriculture 11,Agriculture
Agriculture 12,Agriculture
Agriculture 13,Agriculture
Agriculture 14,Agriculture
Agriculture 15,Agriculture
Agriculture 16,Agriculture
Agriculture 17,Agriculture
Agriculture 18,Agriculture
Agriculture 19,Agriculture
Agriculture 20,Agriculture
Telecommunications 1,Telecommunications
Telecommunications 2,Telecommunications
Telecommunications 3,Telecommunications
Telecommunications 4,Telecommunications
Telecommunications 5,Telecommunications
Telecommunications 6,Telecommunications
Telecommunications 7,Telecommunications
Telecommunications 8,Telecommunications
Telecommunications 9,Telecommunications
Telecommunications 10,Telecommunications
Telecommunications 11,Telecommunications
Telecommunications 12,Telecommunications
Telecommunications 13,Telecommunications
Telecommunications 14,Telecommunications
Telecommunications 15,Telecommunications
Telecommunications 16,Telecommunications
Telecommunications 17,Telecommunications
Telecommunications 18,Telecommunications
Telecommunications 19,Telecommunications
Telecommunications 20,Telecommunications
Education 1,Education
Education 2,Education
Education 3,Education
Education 4,Education
Education 5,Education
Education 6,Education
Education 7,Education
Education 8,Education
Education 9,Education
Education 10,Education
Education 11,Education
Education 12,Education
Education 13,Education
Education 14,Education
Education 15,Education
Education 16,Education
Education 17,Education
Education 18,Education
Education 19,Education
Education 20,Education
Media 1,Media
Media 2,Media
Media 3,Media
Media 4,Media
Media 5,Media
Media 6,Media
Media 7,Media
Media 8,Media
Media 9,Media
Media 10,Media
Media 11,Media
Media 12,Media
Media 13,Media
Media 14,Media
Media 15,Media
Media 16,Media
Media 17,Media
Media 18,Media
Media 19,Media
Media 20,Media
Mining 1,Mining
Mining 2,Mining
Mining 3,Mining
Mining 4,Mining
Mining 5,Mining
Mining 6,Mining
Mining 7,Mining
Mining 8,Mining
Mining 9,Mining
Mining 10,Mining
Mining 11,Mining
Mining 12,Mining
Mining 13,Mining
Mining 14,Mining
Mining 15,Mining
Government 1,Government
Government 2,Government
Government 3,Government
Government 4,Government
Government 5,Government
Government 6,Government
Government 7,Government
Government 8,Government
Government 9,Government
Government 10,Government
Waste Management 1,Waste Management
Waste Management 2,Waste Management
Waste Management 3,Waste Management
Waste Management 4,Waste Management
Waste Management 5,Waste Management
Waste Management 6,Waste Management
Waste Management 7,Waste Management
Waste Management 8,Waste Management
Waste Management 9,Waste Management
Waste Management 10,Waste Management
Waste Management 11,Waste Management
Waste Management 12,Waste Management
Waste Management 13,Waste Management
Waste Management 14,Waste Management
Waste Management 15,Waste Management
